Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b73729-d719-4aba-a41b-e4b834cf5cf8
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation20

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	6	1	8	471	97	10	-1	7199.114	0	37	0	5					
4	6	2	8	496	76	10	-0.5	7199.114	0	37	0	5					
4	6	3	8	528	70	10	0	7199.114	0	37	0	5					
4	6	4	8	538	42	10	0.50000000000000011	7199.114	0	37	0	5					
4	6	5	8	538	50	10	1	7199.114	0	37	0	5					
4	6	6	8	531	41	10	1.4999999999999998	7199.114	0	37	0	5					
4	6	7	8	527	55	10	2.0000000000000004	7199.114	0	37	0	5					
4	6	8	8	515	88	10	2.5	7199.114	0	37	0	5					
4	7	1	8	378	79	10	-1	7200.007	0	37	0	5					
4	7	2	8	410	63	10	-0.5	7200.007	0	37	0	5					
4	7	3	8	402	53	10	0	7200.007	0	37	0	5					
4	7	4	8	400	50	10	0.50000000000000011	7200.007	0	37	0	5					
4	7	5	8	410	45	10	1	7200.007	0	37	0	5					
4	7	6	8	386	46	10	1.4999999999999998	7200.007	0	37	0	5					
4	7	7	8	378	54	10	2.0000000000000004	7200.007	0	37	0	5					
4	7	8	8	380	66	10	2.5	7200.007	0	37	0	5					
4	8	1	8	103	20	10	-1	7198.303	0	37	0	5					
4	8	2	8	106	14	10	-0.5	7198.303	0	37	0	5					
4	8	3	8	108	12	10	0	7198.303	0	37	0	5					
4	8	4	8	111	13	10	0.50000000000000011	7198.303	0	37	0	5					
4	8	5	8	114	12	10	1	7198.303	0	37	0	5					
4	8	6	8	121	8	10	1.4999999999999998	7198.303	0	37	0	5					
4	8	7	8	120	10	10	2.0000000000000004	7198.303	0	37	0	5					
4	8	8	8	113	11	10	2.5	7198.303	0	37	0	5					
4	5	1	9	428	78	10	-1	8101.674	0	37	0	5					
4	5	2	9	438	68	10	-0.5	8101.674	0	37	0	5					
4	5	3	9	455	50	10	0	8101.674	0	37	0	5					
4	5	4	9	450	34	10	0.50000000000000011	8101.674	0	37	0	5					
4	5	5	9	454	45	10	1	8101.674	0	37	0	5					
4	5	6	9	447	54	10	1.4999999999999998	8101.674	0	37	0	5					
4	5	7	9	422	59	10	2.0000000000000004	8101.674	0	37	0	5					
4	5	8	9	410	70	10	2.5	8101.674	0	37	0	5					
4	6	1	9	487	72	10	-1	8100	0	37	0	5					
4	6	2	9	504	73	10	-0.5	8100	0	37	0	5					
4	6	3	9	533	52	10	0	8100	0	37	0	5					
4	6	4	9	548	49	10	0.50000000000000011	8100	0	37	0	5					
4	6	5	9	542	47	10	1	8100	0	37	0	5					
4	6	6	9	530	52	10	1.4999999999999998	8100	0	37	0	5					
4	6	7	9	524	66	10	2.0000000000000004	8100	0	37	0	5					
4	6	8	9	511	95	10	2.5	8100	0	37	0	5					
4	7	1	9	372	90	10	-1	8099.9569999999994	0	37	0	5					
4	7	2	9	406	78	10	-0.5	8099.9569999999994	0	37	0	5					
4	7	3	9	392	61	10	0	8099.9569999999994	0	37	0	5					
4	7	4	9	390	38	10	0.50000000000000011	8099.9569999999994	0	37	0	5					
4	7	5	9	391	39	10	1	8099.9569999999994	0	37	0	5					
4	7	6	9	388	36	10	1.4999999999999998	8099.9569999999994	0	37	0	5					
4	7	7	9	378	36	10	2.0000000000000004	8099.9569999999994	0	37	0	5					
4	7	8	9	359	45	10	2.5	8099.9569999999994	0	37	0	5					
4	8	1	9	103	13	10	-1	8098.1759999999995	0	37	0	5					
4	8	2	9	106	14	10	-0.5	8098.1759999999995	0	37	0	5					
4	8	3	9	106	8	10	0	8098.1759999999995	0	37	0	5					
4	8	4	9	114	10	10	0.50000000000000011	8098.1759999999995	0	37	0	5					
4	8	5	9	110	13	10	1	8098.1759999999995	0	37	0	5					
4	8	6	9	117	10	10	1.4999999999999998	8098.1759999999995	0	37	0	5					
4	8	7	9	117	5	10	2.0000000000000004	8098.1759999999995	0	37	0	5					
4	8	8	9	113	11	10	2.5	8098.1759999999995	0	37	0	5					
4	5	1	10	422	93	10	-1	9001.09	0	37	0	5					
4	5	2	10	427	58	10	-0.5	9001.09	0	37	0	5					
4	5	3	10	446	46	10	0	9001.09	0	37	0	5					
4	5	4	10	461	47	10	0.50000000000000011	9001.09	0	37	0	5					
4	5	5	10	450	54	10	1	9001.09	0	37	0	5					
4	5	6	10	435	46	10	1.4999999999999998	9001.09	0	37	0	5					
4	5	7	10	421	53	10	2.0000000000000004	9001.09	0	37	0	5					
4	5	8	10	417	83	10	2.5	9001.09	0	37	0	5					
4	6	1	10	488	75	10	-1	8998.907	0	37	0	5					
4	6	2	10	494	53	10	-0.5	8998.907	0	37	0	5					
4	6	3	10	513	51	10	0	8998.907	0	37	0	5					
4	6	4	10	523	33	10	0.50000000000000011	8998.907	0	37	0	5					
4	6	5	10	515	33	10	1	8998.907	0	37	0	5					
4	6	6	10	527	50	10	1.4999999999999998	8998.907	0	37	0	5					
4	6	7	10	516	57	10	2.0000000000000004	8998.907	0	37	0	5					
4	6	8	10	509	81	10	2.5	8998.907	0	37	0	5					
4	7	1	10	366	81	10	-1	8998.407	0	37	0	5					
4	7	2	10	382	74	10	-0.5	8998.407	0	37	0	5					
4	7	3	10	384	48	10	0	8998.407	0	37	0	5					
4	7	4	10	372	38	10	0.50000000000000011	8998.407	0	37	0	5					
4	7	5	10	381	36	10	1	8998.407	0	37	0	5					
4	7	6	10	385	42	10	1.4999999999999998	8998.407	0	37	0	5					
4	7	7	10	382	42	10	2.0000000000000004	8998.407	0	37	0	5					
4	7	8	10	378	51	10	2.5	8998.407	0	37	0	5					
4	8	1	10	108	15	10	-1	8996.55	0	37	0	5					
4	8	2	10	113	9	10	-0.5	8996.55	0	37	0	5					
4	8	3	10	113	9	10	0	8996.55	0	37	0	5					
4	8	4	10	109	8	10	0.50000000000000011	8996.55	0	37	0	5					
4	8	5	10	114	8	10	1	8996.55	0	37	0	5					
4	8	6	10	114	8	10	1.4999999999999998	8996.55	0	37	0	5					
4	8	7	10	117	7	10	2.0000000000000004	8996.55	0	37	0	5					
4	8	8	10	117	13	10	2.5	8996.55	0	37	0	5					
4	5	1	11	414	59	10	-1	9901.51	0	37	0	5					
4	5	2	11	433	79	10	-0.5	9901.51	0	37	0	5					
4	5	3	11	442	37	10	0	9901.51	0	37	0	5					
4	5	4	11	452	50	10	0.50000000000000011	9901.51	0	37	0	5					
4	5	5	11	448	50	10	1	9901.51	0	37	0	5					
4	5	6	11	427	43	10	1.4999999999999998	9901.51	0	37	0	5					
4	5	7	11	415	60	10	2.0000000000000004	9901.51	0	37	0	5					
4	5	8	11	414	85	10	2.5	9901.51	0	37	0	5					
4	6	1	11	489	78	10	-1	9899.404	0	37	0	5					
