,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
1356,4,5,6,6,4,5,1822,532,"[1819,529,1826,536]",109.72,726.66,0.0495408,154.436,3694,0.109825,2962.9,47,3313.37,0.940837,1,33,1,259,8,75
1366,4,5,7,6,4,4,1859,524,"[1855,520,1864,529]",115.2,727.85,0.13853,861.339,7970,0.196123,5356.38,76,3795.8,1.63805,2,16,1,184,2,53
1384,4,5,7,47,3,1,1352,476,"[1348,472,1358,483]",-282.59,734.82,0.0654047,50.6917,926,0.122183,724.355,86,502.107,1.54359,2,4,1,218,15,70
1385,4,5,7,47,3,2,1370,477,"[1363,472,1376,484]",-280.07,734.68,0.0893764,92.479,1202,0.121146,942.235,119,502.107,2.06075,2,5,1,218,15,70
1386,4,5,7,47,3,3,1348,513,"[1340,508,1353,519]",-283.4,729.55,0.0560475,52.3418,1099,0.109798,881.541,119,502.107,1.85993,2,13,1,116,2,66
1395,4,5,5,3,2,1,1166,634,"[1161,629,1174,641]",-632.92,711.44,0.111316,256.378,2877,0.168612,2046.79,143,2141.69,1.0754,2,14,1,151,1,61
1414,4,5,7,58,11,3,1735,1605,"[1729,1599,1740,1614]",-549.02,-400.7,0.10483,114.548,1332,0.15317,978.154,134,893.619,1.22278,11,14,1,195,1,38
1415,4,5,7,52,3,1,1347,486,"[1342,481,1353,492]",-283.32,733.4,0.061492,60.9712,1233,0.139789,930.559,100,581.274,1.70579,3,4,1,266,46,68
1416,4,5,7,52,3,2,1364,484,"[1353,478,1371,492]",-281.03,733.61,0.0867131,113.19,1572,0.137421,1192.15,180,581.274,2.24565,3,5,1,266,46,68
1429,4,5,9,5,4,1,1944,517,"[1935,511,1954,524]",127.77,728.85,0.217415305539,1512.57755884,9796,0.285521191328,5444.51111111,203,3406.3331202,2.04239821076,2,5,1,16,1,14
