Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	8	7	0	114	72	81	38	2	0.0934740230764	470.942608651	4937	0.161103604409	3322.67991407	184.5	2545.08763465	1.41205803183	13	2	0.0682223781983	984.934430985	18927	0.122130441156	15100.6216931	78.5	15441.6590909	1.01878574016	10	2.0000000000000004	0	-1	37	0	5					
4	8	8	0	116	70	78	54	2	0.0834347945198	308.25054044	3827.5	0.14533951493	2775.4047619	134	2177.402801	1.36441104817	19	2	0.0717668010259	465.126763668	7226	0.120515924123	5604.08928571	81	5907.875	1.00333649945	10	2.5	0	-1	37	0	5					
4	5	1	1	379	224	248	145	2	0.0308658402954	15.2679587964	545.5	0.0641719407989	480.017857143	49.5	425.839436749	1.1627523509	74	2	0.08700884342	208.686560304	3587	0.152575215447	2705.87071429	70.5	3196.45833333	0.961793785702	10	-1	901.2299999999999	0	37	0	5					
4	5	2	1	386	231	253	91	2	0.0299371107304	8.62282474834	325	0.0742259231018	280.584821429	26	260.899533488	1.10703741615	39	1	0.129544699147	127.855820106	1306	0.206406809297	859.107142857	81	1236	0.79851372408	10	-0.5	901.2299999999999	0	37	0	5					
4	5	3	1	387	234	256	57	2	0.0572570296478	30.6422770757	594.5	0.100340681927	481.010673235	65	387.309541038	1.32104401286	21	1	0.147550671725	568.898214286	5382	0.241706629752	3286.71428571	80	3106.8	1.24102372216	10	0	901.2299999999999	0	37	0	5					
4	5	4	1	402	239	261	36	2	0.0256421514559	11.5216727717	483	0.0485184595767	438.277777778	13.5	405.789788342	1.10845433639	21	2	0.117982879082	361.841574675	4357.5	0.227992541532	2721.68285714	73	2613.92307692	1.17965385403	10	0.50000000000000011	901.2299999999999	0	37	0	5					
4	5	5	1	398	234	259	29	3	0.0284822046732	10.7819196871	423	0.0721355441306	365.621212121	26	329.664617155	1.1628568733	18	2	0.13621119202	690.876146384	7850	0.233037539876	5171.21891534	78	4500.12222222	1.21914881926	10	1	901.2299999999999	0	37	0	5					
4	5	6	1	394	233	259	29	1	0.0266947664208	14.6039215686	621	0.0767541324702	532.466666667	85	592.294648159	0.923646009525	17	1	0.0953785385122	114.984126984	1571	0.180505608931	1090.57142857	81	1291.28571429	0.93360868336	10	1.4999999999999998	901.2299999999999	0	37	0	5					
4	5	7	1	391	222	259	29	3	0.0444945702093	15.6129232556	388.333333333	0.0876359937635	324.275171982	53.6666666667	294.848867836	1.16835170931	23	2	0.10993916538	179.392521008	2186	0.200214986652	1457.47571429	71.5	1409.66666667	1.16117396687	10	2.0000000000000004	901.2299999999999	0	37	0	5					
4	5	8	1	382	210	250	46	3	0.0274519691124	8.14931147284	332	0.0712206172576	287.820512821	25.6666666667	260.031893975	1.14930495598	39	1	0.162031674218	753.423280423	6985	0.283838781673	3896.42857143	81	3724	1.24861757569	10	2.5	901.2299999999999	0	37	0	5					
