,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Selected,coloc AR - Object No in Spots AR,Unnamed: 24
619,4,8,23,4,1,310,382,"[306,379,315,389]",532.05,-865.8,,,,,0.0285017,24.4531,940,0.0600507,833.5,64,974.124,0.880743,1,2,
620,4,8,23,4,2,304,396,"[300,392,308,403]",531.26,-867.93,,,,,0.0287048,27.0805,1027,0.0569468,916.333,58,974.124,0.968474,1,3,
621,4,8,61,5,1,1514,844,"[1510,842,1518,848]",-258.7,-934.06,,,,,0.0294248,20.2878,800,0.0890351,669.19,46,609.429,1.13135,5,40,
622,4,8,61,5,2,1506,854,"[1503,849,1510,859]",-259.8,-935.4,,,,,0.0264116,18.4101,763,0.0585194,678.636,43,609.429,1.14377,5,41,
623,4,8,61,5,3,1524,910,"[1519,904,1529,917]",-257.16,-943.75,,,,,0.0998738,85.7978,1071,0.161438,773.265,112,609.429,1.40962,5,42,
624,4,8,23,1,1,820,334,"[816,329,825,339]",-361.17,-212.77,,,,,0.0320075284127,35.3743743744,1201,0.0577700939457,1069.81481481,74,1164.37653401,0.949168208832,1,9,
625,4,8,5,4,1,264,392,"[258,385,271,398]",525.35,-867.26,,,,,0.0502244926009,75.3148854962,1792,0.114341235911,1424.25,131,1624.08381967,0.923329736637,1,10,
626,4,8,2,4,1,253,370,"[248,366,259,380]",523.9,-864.18,,,,,0.0494794,96.7808,2306,0.10727,1859.2,104,2041.69,0.95802,1,11,
627,4,8,2,4,2,307,646,"[302,638,314,654]",531.78,-904.72,,,,,0.0313096,51.8689,1909,0.0865807,1604.78,132,1633.11,1.01441,3,27,
628,4,8,2,4,3,1146,1538,"[1141,1535,1151,1542]",655.63,-1036.69,,,,,0.0255176,79.0746,3443,0.0654907,3019.75,57,2811.0,1.10239,6,34,
629,4,8,22,4,1,308,400,"[305,396,313,405]",531.95,-868.37,,,,,0.0296424296828,27.9844632768,1075,0.0798141715147,916.083333333,59,987.806072017,0.955721799404,1,2,
630,4,8,4,4,1,271,371,"[267,365,275,380]",526.45,-864.19,,,,,0.025975840714,37.8225108225,1684,0.0856662824545,1418.24242424,77,1716.65439795,0.848199227989,1,10,
631,4,8,41,1,1,786,1642,"[781,1638,792,1646]",-366.15,-406.1,,,,,0.050277652709,41.875,972,0.10266591038,791.0,80,719.381018744,1.15776616049,4,4,
632,4,8,8,4,1,360,655,"[355,652,364,659]",539.39,-905.92,,,,,0.029575936567,35.4353846154,1341,0.0712231595092,1162.68,52,1210.58512845,0.989699407714,3,12,
